Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
12,CA-2020-115812,6/9/2020,6/14/2020,Standard Class,BH-11710,Brosina Hoffman,Consumer,INDIA,Ahmedabad,Gujarat,320008,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.42,4,0.2,68.36
13,CA-2023-114412,4/15/2023,4/20/2023,Standard Class,AA-10480,Andrew Allen,Consumer,INDIA,Vishakhapatnam,Andhra Pradesh,500020,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.55,3,0.2,5.44
14,CA-2022-161389,12/5/2022,12/10/2022,Standard Class,IM-15070,Irene Maddox,Consumer,INDIA,Mumbai,Maharashtra,400001,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.98,3,0.2,132.59
15,US-2021-118983,11/22/2021,11/26/2021,Standard Class,HP-14815,Harold Pawlan,Home Office,INDIA,Bhopal,Madhya Pradesh,462001,North,OFF-AP-10002311,Office Supplies,Appliances,Holmes Replacement Filter for HEPA Air Cleaner,,,,
16,US-2021-118983,11/22/2021,11/26/2021,Standard Class,HP-14815,Harold Pawlan,Home Office,INDIA,Bhopal,Madhya Pradesh,462001,North,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.54,3,0.8,-3.82
17,CA-2020-105893,11/11/2020,11/18/2020,Standard Class,PK-19075,Pete Kriz,Consumer,INDIA,Raipur,Chattisgarh,490042,North,OFF-ST-10004186,Office Supplies,Storage,Stur-D-Stor Shelving,,,,
18,CA-2020-167164,5/13/2020,5/15/2020,Second Class,AG-10270,Alejandro Grove,Consumer,INDIA,Panaji,Goa,403001,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0,9.99
19,CA-2020-143336,8/27/2020,9/1/2020,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,INDIA,Surat,Gujarat,335009,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0,2.48
20,CA-2020-143336,8/27/2020,9/1/2020,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,INDIA,Surat,Gujarat,335009,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.01
21,CA-2020-143336,8/27/2020,9/1/2020,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,INDIA,Surat,Gujarat,335009,West,OFF-BI-10002215,Office Supplies,Binders,Wilson Jones Hanging View Binder,,,,
22,CA-2022-137330,12/9/2022,12/13/2022,Standard Class,KB-16585,Ken Black,Corporate,INDIA,Indore,Madhya Pradesh,451010,North,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,0,5.06
23,CA-2022-137330,12/9/2022,12/13/2022,Standard Class,KB-16585,Ken Black,Corporate,INDIA,Indore,Madhya Pradesh,451010,North,OFF-AP-10001492,Office Supplies,Appliances,Acco Six-Outlet Power Strip,,,,
24,US-2023-156909,7/16/2023,7/18/2023,Second Class,SF-20065,Sandra Flanagan,Consumer,INDIA,Kolkata,West Bengal,700001,East,FUR-CH-10002774,Furniture,Chairs,Global Deluxe Stacking Chair,,,,
25,CA-2021-106320,9/25/2021,9/30/2021,Standard Class,EB-13870,Emily Burns,Consumer,INDIA,Margao,Goa,403601,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0,240.26
26,CA-2022-121755,1/16/2022,1/20/2022,Second Class,EH-13945,Eric Hoffmann,Consumer,INDIA,Ahmedabad,Gujarat,380002,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.65,2,0.2,4.22
27,CA-2022-121755,1/16/2022,1/20/2022,Second Class,EH-13945,Eric Hoffmann,Consumer,INDIA,Ahmedabad,Gujarat,380002,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0,11.77
28,US-2021-150630,9/17/2021,9/21/2021,Standard Class,TB-21520,Tracy Blumstein,Consumer,INDIA,Kolkata,West Bengal,700001,East,FUR-BO-10004834,Furniture,Bookcases,Riverside Palais Royal Lawyers Bookcase,,,,
29,US-2021-150630,9/17/2021,9/21/2021,Standard Class,TB-21520,Tracy Blumstein,Consumer,INDIA,Kolkata,West Bengal,700001,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.62,2,0.7,-7.05
30,US-2021-150630,9/17/2021,9/21/2021,Standard Class,TB-21520,Tracy Blumstein,Consumer,INDIA,Kolkata,West Bengal,700001,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.53
31,US-2021-150630,9/17/2021,9/21/2021,Standard Class,TB-21520,Tracy Blumstein,Consumer,INDIA,Kolkata,West Bengal,700001,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.26,2,0.2,1.1
32,US-2021-150630,9/17/2021,9/21/2021,Standard Class,TB-21520,Tracy Blumstein,Consumer,INDIA,Kolkata,West Bengal,700001,East,OFF-AR-10004042,Office Supplies,Art,BOSTON Model 1800 Electric Pencil Sharpeners,,,,
33,US-2021-150630,9/17/2021,9/21/2021,Standard Class,TB-21520,Tracy Blumstein,Consumer,INDIA,Kolkata,West Bengal,700001,East,OFF-BI-10001525,Office Supplies,Binders,Acco Pressboard Covers with Storage Hooks,,,,
34,US-2021-150630,9/17/2021,9/21/2021,Standard Class,TB-21520,Tracy Blumstein,Consumer,INDIA,Kolkata,West Bengal,700001,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.55
35,CA-2023-107727,10/19/2023,10/23/2023,Second Class,MA-17560,Matt Abelman,Home Office,INDIA,Gwalior,Madhya Pradesh,474001,North,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.47,3,0.2,9.95
36,CA-2022-117590,12/8/2022,12/10/2022,First Class,GH-14485,Gene Hale,Corporate,INDIA,Jabalpur,Madhya Pradesh,482001,North,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.54,7,0.2,123.47
37,CA-2022-117590,12/8/2022,12/10/2022,First Class,GH-14485,Gene Hale,Corporate,INDIA,Jabalpur,Madhya Pradesh,482001,North,FUR-FU-10003664,Furniture,Furnishings,Electrix Architect's Clamp-On Swing Arm Lamp,,,,
38,CA-2021-117415,12/27/2021,12/31/2021,Standard Class,SN-20710,Steve Nguyen,Home Office,INDIA,Gwalior,Madhya Pradesh,482001,North,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.33,9,0.2,35.42
39,CA-2021-117415,12/27/2021,12/31/2021,Standard Class,SN-20710,Steve Nguyen,Home Office,INDIA,Gwalior,Madhya Pradesh,482001,North,FUR-BO-10002545,Furniture,Bookcases,Atlantic Metals Mobile 3-Shelf Bookcases,,,,
40,CA-2021-117415,12/27/2021,12/31/2021,Standard Class,SN-20710,Steve Nguyen,Home Office,INDIA,Gwalior,Madhya Pradesh,482001,North,FUR-CH-10004218,Furniture,Chairs,Global Fabric Manager's Chair,,,,
41,CA-2021-117415,12/27/2021,12/31/2021,Standard Class,SN-20710,Steve Nguyen,Home Office,INDIA,Gwalior,Madhya Pradesh,482001,North,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.17,4,0.2,41.76
42,CA-2023-120999,9/10/2023,9/15/2023,Standard Class,LC-16930,Linda Cazamias,Corporate,INDIA,Bilaspur,Chattisgarh,495001,North,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.17,4,0.2,16.56
43,CA-2022-101343,7/17/2022,7/22/2022,Standard Class,RA-19885,Ruben Ausman,Corporate,INDIA,Ahmedabad,Gujarat,380002,West,OFF-ST-10003479,Office Supplies,Storage,Eldon Base for stackable storage shelf,,,,
44,CA-2023-139619,9/19/2023,9/23/2023,Standard Class,ES-14080,Erin Smith,Corporate,INDIA,Secundrabad,Telangana,500003,South,OFF-ST-10003282,Office Supplies,Storage,Advantus 10-Drawer Portable Organizer,,,,
45,CA-2022-118255,3/11/2022,3/13/2022,First Class,ON-18715,Odella Nelson,Corporate,INDIA,Ratlam,Madhya Pradesh,457001,North,TEC-AC-10000171,Technology,Accessories,Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc,,,,
46,CA-2022-118255,3/11/2022,3/13/2022,First Class,ON-18715,Odella Nelson,Corporate,INDIA,Ratlam,Madhya Pradesh,457001,North,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0,8.21
47,CA-2020-146703,10/20/2020,10/25/2020,Second Class,PO-18865,Patrick O'Donnell,Consumer,INDIA,Ratlam,Madhya Pradesh,457001,North,OFF-ST-10001713,Office Supplies,Storage,Gould Plastics 9-Pocket Panel Bin,,,,
48,CA-2022-169194,6/20/2022,6/25/2022,Standard Class,LH-16900,Lena Hernandez,Consumer,INDIA,Guwahati,Assam,781001,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,3,0,4.95
49,CA-2022-169194,6/20/2022,6/25/2022,Standard Class,LH-16900,Lena Hernandez,Consumer,INDIA,Guwahati,Assam,781001,East,TEC-PH-10003988,Technology,Phones,LF Elite 3D Dazzle Designer Hard Case Cover,,,,
50,CA-2021-115742,4/18/2021,4/22/2021,Standard Class,DP-13000,Darren Powers,Consumer,INDIA,Korba,Chattisgarh,47150,North,OFF-BI-10004410,Office Supplies,Binders,C-Line Peel & Stick Add-On Filing Pockets,,,,
51,CA-2021-115742,4/18/2021,4/22/2021,Standard Class,DP-13000,Darren Powers,Consumer,INDIA,Korba,Chattisgarh,47150,North,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6,0,35.33
52,CA-2021-115742,4/18/2021,4/22/2021,Standard Class,DP-13000,Darren Powers,Consumer,INDIA,Korba,Chattisgarh,47150,North,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0,2.96
53,CA-2021-115742,4/18/2021,4/22/2021,Standard Class,DP-13000,Darren Powers,Consumer,INDIA,Korba,Chattisgarh,47150,North,FUR-CH-10003061,Furniture,Chairs,Global Leather Task Chair,,,,
54,CA-2022-105816,12/11/2022,12/17/2022,Standard Class,JM-15265,Janet Molinari,Corporate,INDIA,Bhubaneshwar,Odissa,750017,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0,6.26
55,CA-2022-105816,12/11/2022,12/17/2022,Standard Class,JM-15265,Janet Molinari,Corporate,INDIA,Bhubaneshwar,Odissa,750017,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0,298.69
56,CA-2022-111682,6/17/2022,6/18/2022,First Class,TB-21055,Ted Butterfield,Consumer,INDIA,Bhubaneshwar,Odissa,750019,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0,52.14
57,CA-2022-111682,6/17/2022,6/18/2022,First Class,TB-21055,Ted Butterfield,Consumer,INDIA,Bhubaneshwar,Odissa,750019,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5,0,15.55
58,CA-2022-111682,6/17/2022,6/18/2022,First Class,TB-21055,Ted Butterfield,Consumer,INDIA,Bhubaneshwar,Odissa,750019,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.1
59,CA-2022-111682,6/17/2022,6/18/2022,First Class,TB-21055,Ted Butterfield,Consumer,INDIA,Bhubaneshwar,Odissa,750019,East,OFF-PA-10000587,Office Supplies,Paper,Array Parchment Paper,,,,
60,CA-2022-111682,6/17/2022,6/18/2022,First Class,TB-21055,Ted Butterfield,Consumer,INDIA,Bhubaneshwar,Odissa,750019,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,2,0,3.3
61,CA-2022-111682,6/17/2022,6/18/2022,First Class,TB-21055,Ted Butterfield,Consumer,INDIA,Bhubaneshwar,Odissa,750019,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.36
62,CA-2022-111682,6/17/2022,6/18/2022,First Class,TB-21055,Ted Butterfield,Consumer,INDIA,Bhubaneshwar,Odissa,750019,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0,0.84
63,CA-2021-135545,11/24/2021,11/30/2021,Standard Class,KM-16720,Kunst Miller,Consumer,INDIA,Ahmedabad,Gujarat,90004,West,TEC-AC-10004633,Technology,Accessories,Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc,,,,
64,CA-2021-135545,11/24/2021,11/30/2021,Standard Class,KM-16720,Kunst Miller,Consumer,INDIA,Ahmedabad,Gujarat,90004,West,OFF-BI-10001078,Office Supplies,Binders,Acco PRESSTEX Data Binder with Storage Hooks,,,,
65,CA-2021-135545,11/24/2021,11/30/2021,Standard Class,KM-16720,Kunst Miller,Consumer,INDIA,Ahmedabad,Gujarat,90004,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3,0,68.96
66,CA-2021-135545,11/24/2021,11/30/2021,Standard Class,KM-16720,Kunst Miller,Consumer,INDIA,Ahmedabad,Gujarat,90004,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0,22.33
67,US-2021-164175,4/30/2021,5/5/2021,Standard Class,PS-18970,Paul Stevenson,Home Office,INDIA,Raipur,Chattisgarh,60610,North,FUR-CH-10001146,Furniture,Chairs,Global Value Mid-Back Manager's Chair,,,,
68,CA-2020-106376,12/5/2020,12/10/2020,Standard Class,BS-11590,Brendan Sweed,Corporate,INDIA,Jaipur,Rajasthan,302001,West,OFF-AR-10002671,Office Supplies,Art,Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener,,,,
69,CA-2020-106376,12/5/2020,12/10/2020,Standard Class,BS-11590,Brendan Sweed,Corporate,INDIA,Jaipur,Rajasthan,302001,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.97,4,0.2,62.99
70,CA-2022-119823,6/4/2022,6/6/2022,First Class,KD-16270,Karen Daniels,Consumer,INDIA,Thiruvantapuram,Kerala,605036,South,OFF-PA-10000482,Office Supplies,Paper,Snap-A-Way Black Print Carbonless Ruled Speed Letter,,,,
71,CA-2022-106075,9/18/2022,9/23/2022,Standard Class,HM-14980,Henry MacAllister,Consumer,INDIA,Bhubaneshwar,Odissa,750909,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.62,1,0.2,1.73
72,CA-2023-114440,9/14/2023,9/17/2023,Second Class,TB-21520,Tracy Blumstein,Consumer,INDIA,Indore,Madhya Pradesh,452002,North,OFF-PA-10004675,Office Supplies,Paper,Telephone Message Books with Fax/Mobile Section,,,,
73,US-2021-134026,4/26/2021,5/2/2021,Standard Class,JE-15745,Joel Eaton,Consumer,INDIA,Chennai,Tamil Nadu,600001,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.94,8,0.2,-114.39
74,US-2021-134026,4/26/2021,5/2/2021,Standard Class,JE-15745,Joel Eaton,Consumer,INDIA,Chennai,Tamil Nadu,600001,South,FUR-FU-10003708,Furniture,Furnishings,Tenex Traditional Chairmats for Medium Pile Carpet,,,,
75,US-2021-134026,4/26/2021,5/2/2021,Standard Class,JE-15745,Joel Eaton,Consumer,INDIA,Chennai,Tamil Nadu,600001,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.78,1,0.2,-18.2
76,US-2023-118038,12/9/2023,12/11/2023,First Class,KB-16600,Ken Brennan,Corporate,INDIA,Gwalior,Madhya Pradesh,482001,North,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.25,3,0.8,-1.93
77,US-2023-118038,12/9/2023,12/11/2023,First Class,KB-16600,Ken Brennan,Corporate,INDIA,Gwalior,Madhya Pradesh,482001,North,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock",,,,
78,US-2023-118038,12/9/2023,12/11/2023,First Class,KB-16600,Ken Brennan,Corporate,INDIA,Gwalior,Madhya Pradesh,482001,North,OFF-ST-10000615,Office Supplies,Storage,SimpliFile Personal File,,,,
79,US-2020-147606,11/26/2020,12/1/2020,Second Class,JE-15745,Joel Eaton,Consumer,INDIA,Gwalior,Madhya Pradesh,77070,North,FUR-FU-10003194,Furniture,Furnishings,Eldon Expressions Desk Accessory,,,,
80,CA-2022-127208,6/12/2022,6/15/2022,First Class,SC-20770,Stewart Carmichael,Corporate,INDIA,Coimbatore,Tamil Nadu,631027,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0,56.2
81,CA-2022-127208,6/12/2022,6/15/2022,First Class,SC-20770,Stewart Carmichael,Corporate,INDIA,Coimbatore,Tamil Nadu,631027,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0,8.04
82,CA-2020-139451,10/12/2020,10/16/2020,Standard Class,DN-13690,Duane Noonan,Consumer,INDIA,Surat,Gujarat,94122,West,OFF-AR-10002053,Office Supplies,Art,Premium Writing Pencils,,,,
83,CA-2020-139451,10/12/2020,10/16/2020,Standard Class,DN-13690,Duane Noonan,Consumer,INDIA,Surat,Gujarat,94122,West,OFF-ST-10002370,Office Supplies,Storage,Sortfiler Multipurpose Personal File Organizer,,,,
84,CA-2021-149734,9/3/2021,9/8/2021,Standard Class,JC-16105,Julie Creighton,Corporate,INDIA,Vishakhapatnam,Andhra Pradesh,27707,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.98,7,0.2,62.81
85,US-2023-119662,11/13/2023,11/16/2023,First Class,CS-12400,Christopher Schild,Home Office,INDIA,Raipur,Chattisgarh,492002,North,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.38,3,0.2,-48.95
86,CA-2023-140088,5/28/2023,5/30/2023,Second Class,PO-18865,Patrick O'Donnell,Consumer,INDIA,Bangalore,Karnataka,530068,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0,33.22
87,CA-2023-155558,10/26/2023,11/2/2023,Standard Class,PG-18895,Paul Gonzalez,Consumer,INDIA,Bhopal,Madhya Pradesh,313001,North,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0,6.8
88,CA-2023-155558,10/26/2023,11/2/2023,Standard Class,PG-18895,Paul Gonzalez,Consumer,INDIA,Bhopal,Madhya Pradesh,313001,North,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16,2,0,2.96
89,CA-2022-159695,4/5/2022,4/10/2022,Second Class,GM-14455,Gary Mitchum,Home Office,INDIA,Gwalior,Madhya Pradesh,474001,North,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.37,7,0.2,13.86
90,CA-2022-109806,9/17/2022,9/22/2022,Standard Class,JS-15685,Jim Sink,Corporate,INDIA,Ahmedabad,Gujarat,380001,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0,6.63
91,CA-2022-109806,9/17/2022,9/22/2022,Standard Class,JS-15685,Jim Sink,Corporate,INDIA,Ahmedabad,Gujarat,380001,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.58,2,0.2,8.28
92,CA-2022-109806,9/17/2022,9/22/2022,Standard Class,JS-15685,Jim Sink,Corporate,INDIA,Ahmedabad,Gujarat,380001,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,1,0,3.11
93,CA-2021-149587,1/31/2021,2/5/2021,Second Class,KB-16315,Karl Braun,Consumer,INDIA,Bhopal,Madhya Pradesh,462007,North,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,12.96,2,0,6.22
94,CA-2021-149587,1/31/2021,2/5/2021,Second Class,KB-16315,Karl Braun,Consumer,INDIA,Bhopal,Madhya Pradesh,462007,North,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0,16.54
95,CA-2021-149587,1/31/2021,2/5/2021,Second Class,KB-16315,Karl Braun,Consumer,INDIA,Bhopal,Madhya Pradesh,462007,North,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2,0,16.15
96,US-2023-109484,11/6/2023,11/12/2023,Standard Class,RB-19705,Roger Barcio,Home Office,INDIA,Udaipur,Rajasthan,313001,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.68,1,0.7,-3.79
97,CA-2023-161018,11/9/2023,11/11/2023,Second Class,PN-18775,Parhena Norris,Home Office,INDIA,Bhubaneshwar,Odissa,750909,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0,40.54
98,CA-2023-157833,6/17/2023,6/20/2023,First Class,KD-16345,Katherine Ducich,Consumer,INDIA,Surat,Gujarat,94122,West,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.31,3,0.2,17.96
99,CA-2022-149223,9/6/2022,9/11/2022,Standard Class,ER-13855,Elpida Rittenbach,Corporate,INDIA,Bhopal,Madhya Pradesh,313001,North,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0,22.59
100,CA-2022-158568,8/29/2022,9/2/2022,Standard Class,RB-19465,Rick Bensley,Home Office,INDIA,Raipur,Chattisgarh,60610,North,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.62,7,0.2,22.62
101,CA-2022-158568,8/29/2022,9/2/2022,Standard Class,RB-19465,Rick Bensley,Home Office,INDIA,Raipur,Chattisgarh,60610,North,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.98,3,0.2,-10.8
102,CA-2022-158568,8/29/2022,9/2/2022,Standard Class,RB-19465,Rick Bensley,Home Office,INDIA,Raipur,Chattisgarh,60610,North,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.79,3,0.8,-3.04
103,CA-2022-129903,12/1/2022,12/4/2022,Second Class,GZ-14470,Gary Zandusky,Consumer,INDIA,Bhopal,Madhya Pradesh,313001,North,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,0,11.72
104,US-2021-156867,11/13/2021,11/17/2021,Standard Class,LC-16870,Lena Cacioppo,Consumer,INDIA,Jodhpur,Rajasthan,112001,West,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.9,6,0.2,-26.88
105,US-2021-156867,11/13/2021,11/17/2021,Standard Class,LC-16870,Lena Cacioppo,Consumer,INDIA,Jodhpur,Rajasthan,112001,West,FUR-FU-10004006,Furniture,Furnishings,Deflect-o DuraMat Lighweight,,,,
106,US-2021-156867,11/13/2021,11/17/2021,Standard Class,LC-16870,Lena Cacioppo,Consumer,INDIA,Jodhpur,Rajasthan,112001,West,OFF-BI-10002794,Office Supplies,Binders,Avery Trapezoid Ring Binder,,,,
107,CA-2023-119004,11/23/2023,11/28/2023,Standard Class,JM-15250,Janet Martin,Consumer,INDIA,Amravati,Andhra Pradesh,521225,South,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.11,8,0.2,17.6
108,CA-2023-119004,11/23/2023,11/28/2023,Standard Class,JM-15250,Janet Martin,Consumer,INDIA,Amravati,Andhra Pradesh,521225,South,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,27.99,1,0.2,2.1
109,CA-2023-119004,11/23/2023,11/28/2023,Standard Class,JM-15250,Janet Martin,Consumer,INDIA,Amravati,Andhra Pradesh,521225,South,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,3.3,1,0.2,1.07
110,CA-2021-129476,10/15/2021,10/20/2021,Standard Class,PA-19060,Pete Armstrong,Home Office,INDIA,Raipur,Chattisgarh,490042,North,TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard,339.96,5,0.2,67.99
